Gene,PMID,Evidence
CCL2,33446575,Elevated expression of SOS1 also enhanced cancer stemness through upregulation of PTTG1 and promoted M2 polarization of macrophages by CCL2 in metastatic sites.
PTTG1,33446575,Elevated expression of SOS1 also enhanced cancer stemness through upregulation of PTTG1 and promoted M2 polarization of macrophages by CCL2 in metastatic sites.
SOS1,33446575,Elevated expression of SOS1 also enhanced cancer stemness through upregulation of PTTG1 and promoted M2 polarization of macrophages by CCL2 in metastatic sites.
SOS1,33446575,"The natural compound, taxifolin, suppressed signaling transduction of SOS1 by blocking the interaction between SOS1 and Grb2, suggesting a potential utility of this compound as a therapeutic agent for AA patients with breast cancer."
SNAI1,33510281,We show that triptonide downregulates multiple cancer stem cell-associated genes but upregulates SNAI1 gene expression.
BAX,33511882,Results showed that SH extract induces apoptosis by suppressing the protein expression of BCL-2 while the expression of pro-apoptotic proteins such as BAX and caspase nine were unchanged.
EGFR,33525984,"Molecular docking and molecular dynamic studies: screening of phytochemicals against EGFR, HER2, estrogen and NF-KB receptors for their potential use in breast cancer."
EGFR,33525984,"We docked the phytochemicals and examined the binding affinities of ligands towards the EGFR, HER2, estrogen and NF-ÎºB receptors."
HER2,33525984,"Molecular docking and molecular dynamic studies: screening of phytochemicals against EGFR, HER2, estrogen and NF-KB receptors for their potential use in breast cancer."
HER2,33525984,"We docked the phytochemicals and examined the binding affinities of ligands towards the EGFR, HER2, estrogen and NF-ÎºB receptors."
FBXW7,33544209,"However, FBXW7 silencing or c-Myc transfection resulted in resistance to the honokiol-induced apoptotic effect."
H2A histone family member X,33622211,"Mistletoe extract simultaneously increased the expression of the DNA damage marker proteins, phosphorylated H2A histone family member X (H2A.X), and phosphorylated p38."
Plasminogen,33622211,"In addition to tumor growth inhibition, mistletoe extract inhibited lung metastasis in the tumor-bearing mice and cell invasiveness by downregulating the expressions of matrix metalloproteinases (MMPs), urokinase-type plasminogen activator (uPA), uPA receptor, and markers of epithelial-mesenchymal transition (snail and fibronectin)."
HER2,33625319,A total of 100 biologically active phytochemicals from H. cordata were screened and docked against the ligand-binding pocket of HER2 and VEGFR2 kinase domains.
HER2,33625319,"Among the top-hit phytochemicals docked from H. cordata, the Î²-sitosterol and Quercetin showed highest binding affinity towards HER2 and VEGFR2 receptors using both hydrogen and hydrophobic interactions."
HER2,33625319,"In the present study, In-silico docking approaches were used to identify the top-hit phytochemicals from H. cordata as potential inhibitors for overexpressed HER2 (breast) and VEGFR2 (stomach) cancer genes."
HER2,33625319,In-silico based identification of phytochemicals from Houttuynia cordata Thunb. as potential inhibitors for overexpressed HER2 and VEGFR2 cancer genes.
EMT,33640782,"CONCLUSION: The results of the current study suggests that CIS when supplemented with SFN, inhibits metastasis and stemness potential of TNBC cells by down regulating SIRTs-mediated EMT cascade."
EMT,33640782,Sulforaphane-cisplatin combination inhibits the stemness and metastatic potential of TNBCs via down regulation of sirtuins-mediated EMT signaling axis.
HO-1,32963697,"We also noticed that there was a marked upregulation of detoxifying enzyme system in the presence of SMAE, and its exposure also contributed to an increase in Nrf2 and HO-1 content as well."
SFRP1,33007803,"Significant Decreased Expressions of CaN, VEGF, SLC39A6 and SFRP1 in MDA-MB-231 Xenograft Breast Tumor Mice Treated with Moringa oleifera Leaves and Seed Residue (MOLSr) Extracts."
SLC39A6,33007803,"Significant Decreased Expressions of CaN, VEGF, SLC39A6 and SFRP1 in MDA-MB-231 Xenograft Breast Tumor Mice Treated with Moringa oleifera Leaves and Seed Residue (MOLSr) Extracts."
MMP9,33066411,Six of the eight crude extracts demonstrated inhibition toward MMP9 with the IC50 24 to 823 Âµg/mL.
MMP9,33066411,"The partitions (1 mg/mL) of Ageratum conyzoides aerial parts and Ixora coccinea leaves showed inhibition 94% and 96%, whereas their fractions showed IC50 43 and 116 Âµg/mL, respectively toward MMP9."
MMP9,33066411,"The selected plants were extracted using methanol and then a step-by-step in vitro screening against MMP9 was performed from its crude extract, partitions until fractions using FRET-based assay."
MMP9,33066411,"This study aims to select local plants in our state, as anti-breast cancer agent with hemopexin-like domain of MMP9 (PEX9) as the selective protein target."
CD44,33114669,"It also decreased the subpopulation of CD44high/CD24low cells, a cancer stem cell (CSC) phenotype, and specific genes related to CSCs, such as Nanog,Oct4, and CD44."
CDK6,33134711,We performed in silico and in vitro screening of different natural compounds and found that quercetin has a high binding affinity for the CDK6 and inhibits its activity with an IC50 = 5.89 Î¼M.
Calreticulin,33156457,"We show that P2Et extract and ethyl gallate induced autophagy, partially protecting tumor cells from death and promoting calreticulin exposure and the release of ATP."
p65,33173971,"While TRAIL triggered the phosphorylation of the p65 subunit of NFâ€‘ÎºB, leading to cellular damage in HaCaT cells, treatment with Sohakuhi extract protected HaCaT cells against TRAILâ€‘induced cellular damage."
XIAP,22508521,"Inhibition of XIAP function using embelin, a plant-derived cell permeable small molecule, in combination with TRAIL caused a synergistic decrease in cell viability."
XIAP,29048653,"In order to elucidate the mechanisms responsible for the overexpression of the XIAP protein in breast cancer, we attempted to clarify the mechanisms by which the natural compound curcumin downregulates XIAP in breast cancer cells."
X-linked inhibitor of apoptosis,20826545,"Embelin (2,5-dihydroxy-3-undecyl-1,4-benzoquinone), derived from the Ayurvedic medicinal plant Embelia ribes, has been shown to bind and inhibit X-linked inhibitor of apoptosis protein and inhibit inflammatory pathways."
YAP,30479839,"Collectively, our studies suggest that apigenin is a promising therapeutic agent for the treatment of TNBC patients with high YAP/TAZ activity."
TAZ,30479839,"Collectively, our studies suggest that apigenin is a promising therapeutic agent for the treatment of TNBC patients with high YAP/TAZ activity."
ZBTB10,22941571,"Pg extract significantly decreased Sp1, Sp3, and Sp4 as well as miR-27a in BT474 and MDA-MB-231 cells and increased expression of the transcriptional repressor ZBTB10."
ZEB1,26423775,"Next, we identified a molecular pathway by which the increased expression of miR-200c induced by natural substances led to ZEB1 inhibition and E-cadherin induction."
ER,1460605,"Both, modifications in binding characteristics of ER and cleavage of the native 67 KDa receptor were found to be extremely marked when unsaturated fatty acids were directly added to the high-salt cell extracts."
ER,6685018,"A pure plant fluorescent estrogen, coumestrol, has Ka of 6 X 10(8) M-1 for the ER and is a single component as determined by HPLC."
ICE,7610396,"Paclitaxel (Taxol; Bristol-Myers Squibb Company, Princeton, NJ), a dipertene compound extracted from the Pacific yew Taxus brevifolia, appeared a good candidate for study as an addition to the ICE regimen (ICE-T) because of its broad antitumor activity, its unique mechanism of action, and its toxicity profile, which was not expected to impact the ICE regimen adversely."
PIP,7674820,"Quercetin, a plant flavonoid, blocks signal transduction pathways by inhibiting 1-phosphatidylinositol 4-kinase (EC 2.7.1.67, PI kinase) and 1-phosphatidylinositol 4-phosphate 5-kinase (EC 2.7.1.68, PIP kinase), resulting in a reduction of inositol 1,4,5-trisphosphate (IP3) concentration which decreases the release of calcium from intracellular sources."
Aromatase,8049151,Seven lignans and six flavonoids were evaluated for their abilities to inhibit aromatase enzyme activity in a human preadipose cell culture system.
Aromatase,8049151,"The inhibition of human preadipocyte aromatase activity by lignans and flavonoids suggests a mechanism by which consumption of lignan- and flavonoid-rich plant foods may contribute to reduction of estrogen-dependent disease, such as breast cancer."
PIP,9381980,Quercetin and genistein are able to inhibit PI and PIP kinase activities and reduce IP3 concentration in vivo and in tissue culture systems.
TNF-alpha,9533928,"In all supernatants of AM-stimulated cell cultures TNF-alpha or IL-6 were found, indicating the activation of cells of the monocyte-/macrophage lineage by mistletoe extracts."
DNA topoisomerase I,10976580,Activity of crude extract of Rubus crataegifolius roots as a potent apoptosis inducer and DNA topoisomerase I inhibitor.
ER,11014220,Resveratrol was shown to bind ER in cytosolic extracts from MCF-7 and rat uteri.
Progesterone receptor,11014220,"For the natural, imperfect EREs from the human c-fos, pS2, and progesterone receptor (PR) genes, resveratrol shows activity comparable to that induced by E2."
Cyclin B1,11093765,"Huanglian, A chinese herbal extract, inhibits cell growth by suppressing the expression of cyclin B1 and inhibiting CDC2 kinase activity in human cancer cells."
CDC2,11093765,"Huanglian, A chinese herbal extract, inhibits cell growth by suppressing the expression of cyclin B1 and inhibiting CDC2 kinase activity in human cancer cells."
ER,11525602,"Using an ER-dependent reporter gene assay and an ER competition binding assay, we have identified phytochemicals possessing estrogenic and antiestrogenic activities, which appeared to correlate directly with their capacity to displace [3H]estradiol from ER."
ER,11525602,We conclude that antiestrogenic activities of flavonoid phytochemicals may occur through ER binding-dependent and -independent mechanisms and that the binding-independent antiestrogen activity of certain flavonoids is biologically significant in regulation of breast cancer cell proliferation.
Aromatase,11795395,"The benzopyranone-ring system is a molecular scaffold of considerable interest, and this scaffold is found in flavonoid natural products that have weak aromatase inhibitory activity."
Cyclin D1,12397644,"We found that the alcohol extract of Ganoderma lucidum inhibited cell proliferation in a dose- and time-dependent manner, which might be mediated through up-regulation of p21/Waf1 and down-regulation of cyclin D1."
p21,12397644,"We found that the alcohol extract of Ganoderma lucidum inhibited cell proliferation in a dose- and time-dependent manner, which might be mediated through up-regulation of p21/Waf1 and down-regulation of cyclin D1."
Waf1,12397644,"We found that the alcohol extract of Ganoderma lucidum inhibited cell proliferation in a dose- and time-dependent manner, which might be mediated through up-regulation of p21/Waf1 and down-regulation of cyclin D1."
Epidermal growth factor,12588699,Dietary flaxseed inhibits human breast cancer growth and metastasis and downregulates expression of insulin-like growth factor and epidermal growth factor receptor.
Epidermal growth factor,12588699,"In conclusion, flaxseed inhibited the established human breast cancer growth and metastasis in a nude mice model, and this effect is partly due to its downregulation of insulin-like growth factor I and epidermal growth factor receptor expression."
Epidermal growth factor receptor,12588699,Dietary flaxseed inhibits human breast cancer growth and metastasis and downregulates expression of insulin-like growth factor and epidermal growth factor receptor.
ER,12670155,The ER subtype-selective activities of legume extracts were examined using transiently transfected human embryonic kidney (HEK 293) cells.
ER,12929590,"The present findings suggest that administration of genistein in the perinatal period has protective effects against MNU-induced mammary carcinoma in Sprague-Dawley rats, via reduction of levels of ER alpha- and/or PgR-positive cells (presumed progenitor cells of mammary carcinomas), p63-positive mammary progenitor/stem cells (involved in cell renewal) and PCNA-positive cells (necessary for cell proliferation)."
FAS,14767544,"Pharmacological inhibition of FAS activity by the natural antibiotic cerulenin [(2S,3R)-2,3-epoxy-4-oxo-7E,10E-dodecadienamide] resulted in a dose-dependent cytotoxicity which positively paralleled the endogenous level of FAS."
ER,14974442,"Bioassay-guided isolation, utilizing ER binding as a monitor, resulted in the isolation of linoleic acid as one possible estrogenic component of the extract."
MUC1,15027113,"In this report, we demonstrate that the naturally occurring cancer preventative, indole-3-carbinol (I3C), inhibits the expression of MUC1 in breast cancer cells."
Aromatase,15848217,The plant polyphenol butein inhibits testosterone-induced proliferation in breast cancer cells expressing aromatase.
Aromatase,15848217,The present study illustrated that butein was an aromatase inhibitor and a potential natural alternative for the chemoprevention or therapy of breast cancer.
Androgen receptor,15876415,"Red clover and soy extracts contain isoflavones, which have a high affinity to estrogen receptor alpha (ERalpha), estrogen receptor beta (ERbeta), progesterone receptor (PR) and androgen receptor (AR)."
Progesterone receptor,15876415,"Red clover and soy extracts contain isoflavones, which have a high affinity to estrogen receptor alpha (ERalpha), estrogen receptor beta (ERbeta), progesterone receptor (PR) and androgen receptor (AR)."
PTEN,15905199,Data implicate PTEN in the induction of apoptosis by GEN and suggest that the promotion of apoptosis leading to inhibition of tumorigenesis in vivo by diets containing GEN may also involve the distinct activities of yet unknown GEN metabolite(s) and/or other systemic factors induced by GEN.
cAMP,16061885,"However, patients administered other plant polyphenols experienced severe diarrhea, likely due to an increase in intracellular cyclic AMP (cAMP)."
NIS,16092068,"In contrast to many other plant-derived phenolic secondary metabolites such as (iso-)flavonoids, which inhibit I(-) uptake, XN might be an interesting candidate for more efficient radioiodide therapy of thyroid and perhaps other cancer expressing NIS such as breast cancer."
PAK1,16418572,"Unlike FK228, these extracts do not inhibit AKT activation at the concentrations that block either cancer growth or PAK1 activation."
Cyclin D1,16418572,"Here we provide the first evidence that extracts of Chinese/ Japanese peppercorns (Zanthoxyli Fructus) from the plant Zanthoxylum piperitum called ""Hua Jiao""/""Sansho"", block selectively the key kinase PAK1, leading to the downregulation of cyclin D1."
NF,16418572,"Our data suggest that these peppercorn extracts would be potentially useful for the treatment of PAK1-dependent NF such as MPNST, in addition to a variety of PAK1-dependent cancers including breast cancers."
PAK1,16418572,"Here we provide the first evidence that extracts of Chinese/ Japanese peppercorns (Zanthoxyli Fructus) from the plant Zanthoxylum piperitum called ""Hua Jiao""/""Sansho"", block selectively the key kinase PAK1, leading to the downregulation of cyclin D1."
PAK1,16418572,"Unlike FK228, these extracts do not inhibit AKT activation at the concentrations that block either cancer growth or PAK1 activation."
PAK1,16418572,"Here we provide the first evidence that extracts of Chinese/ Japanese peppercorns (Zanthoxyli Fructus) from the plant Zanthoxylum piperitum called ""Hua Jiao""/""Sansho"", block selectively the key kinase PAK1, leading to the downregulation of cyclin D1."
PAK1,16418572,"Unlike FK228, these extracts do not inhibit AKT activation at the concentrations that block either cancer growth or PAK1 activation."
BRCA1,16434996,BRCA1 and BRCA2 as molecular targets for phytochemicals indole-3-carbinol and genistein in breast and prostate cancer cells.
BRCA1,16434996,"Finally, we provide evidence suggesting that the phytochemical induction of BRCA1 expression is due, in part, to endoplasmic reticulum stress response signalling."
BRCA1,16434996,"Studies using small interfering RNAs (siRNAs) and BRCA expression vectors suggest that the phytochemical induction of BRCA2 is due, in part, to BRCA1."
BRCA2,16434996,BRCA1 and BRCA2 as molecular targets for phytochemicals indole-3-carbinol and genistein in breast and prostate cancer cells.
BRCA2,16434996,"Studies using small interfering RNAs (siRNAs) and BRCA expression vectors suggest that the phytochemical induction of BRCA2 is due, in part, to BRCA1."
BAP1,16469160,"The different genes involved in the BRCA1 and BRCA2 pathways (GADD45A, BARD1, JUN, BAX, RB1, ERalpha, ERbeta, BAP1, TNFalpha, p53, p21Waf1/Cip1, p300, RAD51, pS2, Ki-67) were quantified by real-time quantitative RT-PCR, using the TaqMan method and an ABI Prism 7700 Sequence Detector (Applied Biosystems)."
BARD1,16469160,"The different genes involved in the BRCA1 and BRCA2 pathways (GADD45A, BARD1, JUN, BAX, RB1, ERalpha, ERbeta, BAP1, TNFalpha, p53, p21Waf1/Cip1, p300, RAD51, pS2, Ki-67) were quantified by real-time quantitative RT-PCR, using the TaqMan method and an ABI Prism 7700 Sequence Detector (Applied Biosystems)."
BAX,16469160,"The different genes involved in the BRCA1 and BRCA2 pathways (GADD45A, BARD1, JUN, BAX, RB1, ERalpha, ERbeta, BAP1, TNFalpha, p53, p21Waf1/Cip1, p300, RAD51, pS2, Ki-67) were quantified by real-time quantitative RT-PCR, using the TaqMan method and an ABI Prism 7700 Sequence Detector (Applied Biosystems)."
BRCA1,16469160,"The different genes involved in the BRCA1 and BRCA2 pathways (GADD45A, BARD1, JUN, BAX, RB1, ERalpha, ERbeta, BAP1, TNFalpha, p53, p21Waf1/Cip1, p300, RAD51, pS2, Ki-67) were quantified by real-time quantitative RT-PCR, using the TaqMan method and an ABI Prism 7700 Sequence Detector (Applied Biosystems)."
BRCA2,16469160,"The different genes involved in the BRCA1 and BRCA2 pathways (GADD45A, BARD1, JUN, BAX, RB1, ERalpha, ERbeta, BAP1, TNFalpha, p53, p21Waf1/Cip1, p300, RAD51, pS2, Ki-67) were quantified by real-time quantitative RT-PCR, using the TaqMan method and an ABI Prism 7700 Sequence Detector (Applied Biosystems)."
JUN,16469160,"The different genes involved in the BRCA1 and BRCA2 pathways (GADD45A, BARD1, JUN, BAX, RB1, ERalpha, ERbeta, BAP1, TNFalpha, p53, p21Waf1/Cip1, p300, RAD51, pS2, Ki-67) were quantified by real-time quantitative RT-PCR, using the TaqMan method and an ABI Prism 7700 Sequence Detector (Applied Biosystems)."
RAD51,16469160,"The different genes involved in the BRCA1 and BRCA2 pathways (GADD45A, BARD1, JUN, BAX, RB1, ERalpha, ERbeta, BAP1, TNFalpha, p53, p21Waf1/Cip1, p300, RAD51, pS2, Ki-67) were quantified by real-time quantitative RT-PCR, using the TaqMan method and an ABI Prism 7700 Sequence Detector (Applied Biosystems)."
RB1,16469160,"The different genes involved in the BRCA1 and BRCA2 pathways (GADD45A, BARD1, JUN, BAX, RB1, ERalpha, ERbeta, BAP1, TNFalpha, p53, p21Waf1/Cip1, p300, RAD51, pS2, Ki-67) were quantified by real-time quantitative RT-PCR, using the TaqMan method and an ABI Prism 7700 Sequence Detector (Applied Biosystems)."
p21,16512916,"Previous studies have shown that this DNA-binding phytochemical can arrest a number of different types of transformed cells in G0/G1, and upregulate the CKIs p21 and p27 while downregulating multiple cyclins and CDKs."
p27,16512916,"Previous studies have shown that this DNA-binding phytochemical can arrest a number of different types of transformed cells in G0/G1, and upregulate the CKIs p21 and p27 while downregulating multiple cyclins and CDKs."
Cyclin D1,16557472,"Also, we evaluated the effects of this CR extract on the transcriptional regulation of genes involved in cell cycle progression in the ER-negative cell lines 293T and T-47D and we found that this extract markedly inhibited the luciferase activity driven by the cyclin D1 promoter and increased the transcriptional activity of the p21 gene promoter."
p21,16557472,"Also, we evaluated the effects of this CR extract on the transcriptional regulation of genes involved in cell cycle progression in the ER-negative cell lines 293T and T-47D and we found that this extract markedly inhibited the luciferase activity driven by the cyclin D1 promoter and increased the transcriptional activity of the p21 gene promoter."
Progesterone receptor,16557472,"Finally, we observed that our CR extract bound to the progesterone receptor B1 but did not show progestin-like activity in the T-47D cell line."
ER-beta,16596234,ER-beta and its ER-beta mRNA isoforms may be involved in a self-limiting mechanism of estrogenic stimulation promoted either by the natural hormone or by weaker estrogen agonists like genistein.
PI3K,16619521,"The naturally occurring bioflavonoid Quercetin (Qu) shares structural homology with the commercially available selective PI3K inhibitor, LY 294002 (LY)."
EGF,16919867,Selective downregulation of EGF receptor and downstream MAPK pathway in human cancer cell lines by active components partially purified from the seeds of Livistona chinensis R.
PR,17048572,The results of RT-PCR and western blotting showed that PR mRNA and protein could be significantly induced by adzuki bean extract in MCF-7 cells.
HER2,17134970,A recent pilot clinical trial assessing the effects of ALA-rich dietary flaxseed on tumor biological markers in postmenopausal patients with primary breast cancer demonstrated significant reductions in tumor growth and in HER2 (erbB-2) oncogene expression.
ER,17461595,The extracts from one harvesting of C. genistoides (P104) bound to both ER subtypes.
SHBG,17461595,Binding to SHBG by extracts was also demonstrated.
SHBG,17461595,"Unfermented C. genistoides methanol extracts of different harvestings and selected polyphenols were evaluated for phytoestrogenic activity by comparing binding to both ER subtypes, transactivation of an ERE-containing promoter reporter, proliferation of MCF-7-BUS and MDA-MB-231 breast cancer cells, and binding to SHBG."
Progesterone receptor,17628368,A genetically characterized Epimedium brevicornum (EB) extract induced biphasic responses in the mRNA and protein expression of the estrogen-regulated progesterone receptor gene in breast cancer (MCF-7) cells.
FAS,18022396,"In this study, diosgenin, a plant-derived steroid, was found to be effective in suppressing FAS expression in HER2-overexpressing breast cancer cells."
Fatty acid synthase,18022396,"Diosgenin, a naturally occurring steroid, suppresses fatty acid synthase expression in HER2-overexpressing breast cancer cells through modulating Akt, mTOR and JNK phosphorylation."
Plasminogen,18025290,"Because some phytochemicals are shown to inhibit DNA and histone modification, modulation of expression by the agents in a set of genes (cadherin-11, p21Cip1, urokinase-type plasminogen activator, and interleukin-6) was compared with changes induced by inhibitors of DNA methylation or histone deacetylation."
Aromatase,18201740,"Certain flavonoids, plant derived chemicals, are known catalytic aromatase inhibitors."
Aromatase,18201740,Comparison of the aromatase inhibitory potencies of these compounds between the two test systems showed that the measurement of aromatase inhibition in human placental microsomes is a good predictor of aromatase inhibition in human breast fibroblasts.
HER2,18208790,"Epidemiological and experimental studies begin to support the notion that ""The Sacred Law of Salads"" (i.e., ""raw vegetables... plenty of generous (olive) oil"") -originally proposed in 1614 by Giacomo Castelvetro in its book The Fruit, Herbs & Vegetables of Italy- might be considered the first (unintended) example of customised diets for breast cancer prevention based on individual genetic make-up (i.e., nutraceuticals against human breast carcinomas bearing HER2 oncogene amplification/overexpression)."
Epidermal growth factor,18623129,"Inhibition of epidermal growth factor receptor signaling pathway by delphinidin, an anthocyanidin in pigmented fruits and vegetables."
EGFR,18623129,"In summary, our study identifies a naturally occurring dietary agent delphinidin as an effective inhibitor of EGFR signaling in breast cancer cells."
EGFR,18623129,"Therefore, identification of a natural, nontoxic agent(s) as an inhibitor of EGFR is of considerable importance."
Cystatin C,18699780,"It was functionally intact and extracts of cells exposed to cystatin C showed a higher capacity to inhibit papain and cathepsin B than control cells (decrease in enzyme activity of 34% and 37%, respectively)."
Cystatin C,18699780,"Their natural inhibitor cystatin C is a secreted protein, suggesting that it functions to control extracellular protease activity."
CDK2,18761329,"In this study we raised the question whether roscovitine (ROSC), an inhibitor of cyclin-dependent kinases (CDKs) with increased selectivity towards CDK2, could be able to affect human leukemia HL-60 cells in which the p53 gene is inactivated and whether ROSC-induced effects could be additionally modulated by compounds of natural origin, especially by polyphenols e.g."
FASN,18813848,"Natural compounds, such as the green tea polyphenol epigallocatechin-3-gallate, have been shown to induce anti-cancer effects by suppressing FASN, which may account for the epidemiologically observed inverse correlation between green-tea drinking and cancer risk in Oriental populations."
FASN,18813848,"These findings reveal for the first time that phenolic fractions, directly extracted from EVOO, may induce anti-cancer effects by suppressing the expression of the lipogenic enzyme FASN in HER2-overexpressing breast carcinoma cells, thus offering a previously unrecognized mechanism for EVOO-related cancer preventive effects."
ER,19003112,"Moreover, the effect of the phytoestrogens on AChE activity cannot be expressed in the presence of E2 since they either could not compete with the natural ligand in binding to the ER or that E2 down-regulates its own receptor."
Cyclin D1,19035277,The steamed extract also significantly reduced the expression of cyclin A and cyclin D1.
HER2,19094209,"CONCLUSION: The ability of EVOO-derived polyphenols to inhibit HER2 activity by promoting the proteasomal degradation of the HER2 protein itself, together with the fact that humans have safely been ingesting secoiridoids and lignans as long as they have been consuming olives and OO, support the notion that the stereochemistry of these phytochemicals might provide an excellent and safe platform for the design of new HER2-targeting agents."
HER2,19094209,EVOO polyphenols-induced HER2 downregulation occurred regardless the molecular mechanism contributing to HER2 overexpression (i.e. naturally by gene amplification and ectopically driven by a viral promoter).
KDR,19242112,"Our previous study showed that ON-III (2',4'-dihydroxy-6'-methoxy-3',5'-dimethylchalcone) extracted from Traditional Chinese Medicine Cleistocaly xoperculatus dry flower could inhibit KDR tyrosine kinase phosphorylation and tumor growth in vivo."
ER,19330917,Cytotoxicity of the motherwort aqueous ethanol extract (MAEE) was analyzed with MTT assay on ER negative MDA-MB-231 and ER positive MCF-7 human breast cancer cell lines.
Caspase 3,19576743,At 132 microg/ml (=4 mg/ml of the drug) this extract caused genotoxic stress indicated by substantial phosphorylation of the core histone H2AX (gamma-H2AX) followed by activation of caspase 3 and signature-type cleavage of PARP resulting in a 55% apoptosis rate after 48 hours of treatment.
p21,19576743,"RESULTS: The strongest anti-leukemic activity was shown by the methanol extract, which contained apigenin, baicalein, chrysin, luteolin and wogonin, with an IpC50 of 43 microg/ml (corresponding to 1.3mg/ml of dried plant material) which correlated with cyclin D1- and Cdc25A suppression and p21 induction."
PARP,19576743,At 132 microg/ml (=4 mg/ml of the drug) this extract caused genotoxic stress indicated by substantial phosphorylation of the core histone H2AX (gamma-H2AX) followed by activation of caspase 3 and signature-type cleavage of PARP resulting in a 55% apoptosis rate after 48 hours of treatment.
HER2,19610045,"To check the effect of Danshen on the proliferation of breast cancer cells, Danshen extract was used to treat MCF-7 and MCF-7 HER2 cells, the latter of which overexpresses HER2."
p27,19610045,Danshen (Salvia miltiorrhiza) extract inhibits proliferation of breast cancer cells via modulation of Akt activity and p27 level.
POU5F1,19728765,"Further, we found significant down regulation of Twist1 and POU5F1, transcription factors that mediate EMT and the self-renewal of undifferentiated embryonic stem cells."
Twist1,19728765,"Further, we found significant down regulation of Twist1 and POU5F1, transcription factors that mediate EMT and the self-renewal of undifferentiated embryonic stem cells."
Vimentin,19728765,"SFN downregulated PBR and vimentin expression in a dose dependent manner, but significantly affected neither HIF-1alpha, nor CA IX protein expression, nor VEGF and GLUT1 mRNA levels."
EMT,19728765,"Further, we found significant down regulation of Twist1 and POU5F1, transcription factors that mediate EMT and the self-renewal of undifferentiated embryonic stem cells."
ADAM10,19783906,Triptolide: An inhibitor of a disintegrin and metalloproteinase 10 (ADAM10) in cancer cells
Apolipoprotein B,19815390,A significant decrease of plasma low-density lipoprotein (LDL) cholesterol and apolipoprotein B has been demonstrated in subjects whose diet was supplemented with 2g/d of plant sterols.
PTEN,19932869,"Our studies identify developing mammary glands as early targets of blueberry-associated bioactive components, possibly through systemic effects on epithelial PTEN signaling."
GATA3,20130088,"We have established the cellular mechanism by which indole-3-carbinol (I3C), a promising anticancer phytochemical from Brassica vegetables, ablates ERalpha expression, and we have uncovered a critical role for the GATA3 transcription factor in this indole-regulated cascade."
FASN,20218616,"Osthole, an active constituent isolated from the fruit of Cnidium monnieri (L.) Cusson, a traditional Chinese medicine, was found to be effective in suppressing FASN expression in HER2-overexpressing breast cells."
MRP1,20645919,"In our previous work we studied modulation of MDR in cancer cells expressing P-gp or MRP1 by selected carotenoids, flavonoids and extracts from medically important Chinese plants."
AHR,20846786,RNAi-mediated knockdown of ERÎ± in T-47D cells did not affect the inhibitory action of either phytochemical on AHR activity.
Aryl hydrocarbon receptor,20846786,Resveratrol and kaempferol are natural chemopreventative agents that are also aryl hydrocarbon receptor (AHR) antagonists and estrogen receptor (ER) agonists.
Epidermal growth factor,20883766,"MATERIALS AND METHODS: We analyzed the effects of PN extract on proliferation of breast cancer cell lines, MCF-7 control vector (vec) and MCF-7 human epidermal growth factor receptor 2 (HER2) cells engineered to overexpress oncogenic HER2 via retroviral infection."
HER2,20883766,"MATERIALS AND METHODS: We analyzed the effects of PN extract on proliferation of breast cancer cell lines, MCF-7 control vector (vec) and MCF-7 human epidermal growth factor receptor 2 (HER2) cells engineered to overexpress oncogenic HER2 via retroviral infection."
HER2,20883766,Our data demonstrates that PN extracts contain useful anti-tumor activity especially against HER2 overexpressing breast cancer.
HER2,20883766,RESULTS: We found that PN extract inhibited the proliferation of both MCF-7 vec and MCF-7 HER2 cells.
HER2,20883766,"When we check the efficiency of PN on the level of intracellular signaling molecules, we found that PN extract induced the inhibition of phosphorylation of HER2 and its downstream effectors, Akt and extracellular signal-regulated kinases (ERK)."
DAPK1,20943371,"Grifolin, a potent antitumour natural product upregulates death-associated protein kinase 1 DAPK1 via p53 in nasopharyngeal carcinoma cells."
CXCR4,21455623,CONCLUSION: This work suggests that Rg3 is a new CXCR4 inhibitor from a natural product.
p27,21598989,"Consequently, the downregulation of Skp2 did not always correlate with the upregulation of p27, suggesting that phytochemical-dependent downregulation of Skp2 can influence cell growth in several ways."
Aromatase,21693041,"In this brief review, we summarize the studies on phytochemicals such as biochanin A, genistein, quercetin, isoliquiritigenin, resveratrol, and grape seed extracts related to their effect on the activation of breast cancer-associated aromatase promoters and discuss their aromatase inhibitory potential to be used as safer chemotherapeutic agents for specific hormone-dependent breast cancer."
Aromatase,21693041,Potential utility of natural products as regulators of breast cancer-associated aromatase promoters.
EGFR,21767082,Selective growth inhibition of human breast cancer cells by graviola fruit extract in vitro and in vivo involving downregulation of EGFR expression.
EGFR,21767082,This study demonstrated that a graviola fruit extract (GFE) significantly downregulated EGFR gene expression and inhibited the growth of BC cells and xenografts.
EGF,21794976,"Treatment of MCF-7 cells with a combined stimulation of EGF and resveratrol, a naturally occurring stilbene with antitumor properties, failed to alter cell morphology, motility and overexpression of EMT markers induced by EGF."
EMT,21794976,"Treatment of MCF-7 cells with a combined stimulation of EGF and resveratrol, a naturally occurring stilbene with antitumor properties, failed to alter cell morphology, motility and overexpression of EMT markers induced by EGF."
Catalase,21845801,The decrease in the activity of catalase and increase in the activity of superoxide dismutase and glutathione peroxidase in different organs of the rats receiving Podophyllum hexandrum extract and alpha-tocopherol indicates the protective effect of the plant in combating oxidative stress undergone by the rats.
